Institution Name,City,Institution Type,Ownership,Affiliated University,UGC Status,AICTE Status,NAAC Grade,NIRF Ranking,Courses Offered,Average Fees,Average Placement,Highest Placement,Official Website,Best Known For
Shaheed Bhagat Singh College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Commerce/Economics/Arts,Not surfaced,Not surfaced,Not surfaced,https://sbsc.in,Excellent ROI for commerce
Ayurvedic and Unani Tibbia College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Ayurveda/Unani,Not surfaced,Not surfaced,Not surfaced,https://tibbia.du.ac.in,Traditional medicine
College of Art,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Fine Arts/Design,Not surfaced,Not surfaced,Not surfaced,https://colart.delhi.gov.in,Excellent for fine arts
Janki Devi Memorial College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://jdm.du.ac.in,Women's education and affordability
Lady Hardinge Medical College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,MBBS/Medical,Not surfaced,Not surfaced,Not surfaced,https://lhmc-hosp.gov.in,Excellent for women's medical education
Lady Irwin College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Home Science/Education,Not surfaced,Not surfaced,Not surfaced,https://ladyirwin.edu.in,Home science and education
Mata Sundri College for Women,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://mscw.ac.in,Women's college in central Delhi
Maulana Azad Institute of Dental Sciences,Delhi,Government College,Government,University of Delhi / health system link,Check UGC official,Not applicable,Not surfaced,Not surfaced,BDS/MDS,Not surfaced,Not surfaced,Not surfaced,http://maids.ac.in,Excellent for dentistry
Maulana Azad Medical College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,MBBS/Medical,Not surfaced,Not surfaced,Not surfaced,https://www.mamc.ac.in,Excellent for medicine
Sri Guru Nanak Dev Khalsa College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://sgndkc.org,Commerce and Sikh minority institution reputation
Zakir Husain Delhi College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Science/Commerce,Not surfaced,Not surfaced,Not surfaced,https://zakirhusaindelhicollege.ac.in,Historic DU college
Maharaja Agrasen College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://mac.du.ac.in,East Delhi DU option
Maharshi Valmiki College of Education,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Education/B.Ed,Not surfaced,Not surfaced,Not surfaced,https://mvce.du.ac.in,Teacher education
Shaheed Rajguru College of Applied Sciences for Women,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Applied Sciences,Not surfaced,Not surfaced,Not surfaced,https://www.rajgurucollege.com,Applied sciences for women
Shyam Lal College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://shyamlalcollege.du.ac.in,Affordable East Delhi option
Vivekananda College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Humanities,Not surfaced,Not surfaced,Not surfaced,https://www.vivekanandacollege.edu.in,Women's humanities college
Nehru Homoeopathic Medical College and Hospital,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Homoeopathy,Not surfaced,Not surfaced,Not surfaced,https://nhmc.delhi.gov.in,Homoeopathic medicine
Bhim Rao Ambedkar College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://brambedkarcollege.ac.in,Local accessibility and affordability
University College of Medical Sciences,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,MBBS/Medical,Not surfaced,Not surfaced,Not surfaced,http://ucms.ac.in,Excellent for medicine
Bharati College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://bharaticollege.du.ac.in,Women's college in West Delhi
Deen Dayal Upadhyaya College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Science/Commerce/Management,Not surfaced,Not surfaced,Not surfaced,https://dducollegedu.ac.in,Science and value
Indira Gandhi Institute of Physical Education and Sports Sciences,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Physical Education/Sports,Not surfaced,Not surfaced,Not surfaced,https://www.igipess.du.ac.in,Excellent for sports education
Kalindi College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://www.kalindicollege.in,Women's education
Rajdhani College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://www.rajdhanicollege.ac.in,Balanced DU option
Shivaji College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://shivajicollege.ac.in,Good faculty and sports
Shyama Prasad Mukherji College for Women,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce,Not surfaced,Not surfaced,Not surfaced,https://spm.du.ac.in,Women's college with local reputation
Keshav Mahavidyalaya,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Commerce/Management/Computer,Not surfaced,Not surfaced,Not surfaced,https://keshav.du.ac.in,Excellent for BMS/B.Com and ROI
Lakshmibai College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://lakshmibaicollege.in,Affordable women's college
Satyawati College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Commerce/Science,Not surfaced,Not surfaced,Not surfaced,https://satyawati.du.ac.in,Affordable North West Delhi option
Sri Guru Gobind Singh College of Commerce,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Commerce/Management/Economics,Not surfaced,Not surfaced,Not surfaced,https://sggscc.ac.in,Excellent for commerce
Bhagini Nivedita College,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Arts/Humanities,Not surfaced,Not surfaced,Not surfaced,https://bnc.du.ac.in,Affordable women's college
Bhaskaracharya College of Applied Sciences,Delhi,Government College,Government,University of Delhi,Check UGC official,Not applicable,Not surfaced,Not surfaced,Applied Sciences/Computer Science,Not surfaced,Not surfaced,Not surfaced,https://bcas.du.ac.in,Applied sciences and computer programs
