Institution Name,Institution Type,Ownership,University Affiliation,Location (City),NAAC Grade,NIRF Ranking,UGC Approved,AICTE Approved,Courses Offered,Official Website,Admission Process,Approx Annual Fees,Avg Placement Package,Highest Placement Package,Year Established
Delhi Skill and Entrepreneurship University (DSEU),State University,Government,Self,South West Delhi,Not surfaced,Not surfaced,Yes,N/A,B.Voc/M.Voc/Diploma,https://dseu.ac.in,Merit/Entrance,"₹15,000–₹60,000",Not surfaced,Not surfaced,2020
Delhi Teachers University,State University,Government,Self,Outer North Delhi,Not surfaced,Not surfaced,Yes,N/A,B.Ed/M.Ed,Not surfaced,Entrance Test,Not surfaced,Not surfaced,Not surfaced,2022
Gurugram University,State University,Government,Self,Gurugram,Not surfaced,Not surfaced,Yes,Yes,BA/BCom/BSc/MA/MBA/MTech,https://gurugramuniversity.ac.in,Merit/Entrance,"₹30,000–₹80,000",Not surfaced,Not surfaced,2017
Shri Vishwakarma Skill University,State University,Government,Self,Gurugram,Not surfaced,Not surfaced,Yes,N/A,B.Voc/M.Voc/Diploma,https://svsu.ac.in,Merit,"₹20,000–₹50,000",Not surfaced,Not surfaced,2016
Indian Agricultural Research Institute (IARI),Deemed University,Government,Self,New Delhi,Not surfaced,Not surfaced,Yes,N/A,BSc/MSc/PhD (Agriculture),https://www.iari.res.in,Entrance Exam,"₹10,000–₹30,000",Not surfaced,Not surfaced,1902
Indian Institute of Foreign Trade (IIFT),Deemed University,Government,Self,South Delhi,Not surfaced,NIRF Top 10 (Management),Yes,N/A,MBA/PhD,https://www.iift.edu,CAT/IIFT Exam,"₹7,00,000–₹8,00,000",₹20 LPA,₹50 LPA+,1963
Indian Law Institute (ILI),Deemed University,Government,Self,New Delhi,Not surfaced,Not surfaced,Yes,N/A,LLM/PhD,https://www.iliindia.org,Entrance Test,"₹30,000–₹60,000",Not surfaced,Not surfaced,1956
Indian Statistical Institute (ISI Delhi),Deemed University,Government,Self,South Delhi,Not surfaced,Not surfaced,Yes,N/A,BStat/MStat/MTech/PhD,https://www.isid.ac.in,ISI Entrance Exam,"₹10,000–₹50,000",Not surfaced,Not surfaced,1974
Santosh University,Deemed University,Private,Self,Ghaziabad,B+,Not surfaced,Yes,Yes,MBBS/BDS/B.Pharm/Nursing,https://santosh.ac.in,NEET,"₹4,00,000–₹12,00,000",Not surfaced,Not surfaced,Not surfaced
Indian Institute of Technology Delhi (IIT Delhi),Institute of National Importance,Government,Self,South West Delhi,Not surfaced,NIRF #2 (Overall),Yes,Yes,BTech/MTech/MBA/PhD,https://home.iitd.ac.in,JEE Advanced,"₹2,20,000–₹2,50,000",₹16–22 LPA,₹2.8 Crore,1961
National Institute of Technology Delhi (NIT Delhi),NIT,Government,Self,Outer North Delhi,Not surfaced,NIRF #65 (Engineering),Yes,Yes,BTech/MTech/PhD,https://nitdelhi.ac.in,JEE Main,"₹1,25,000–₹1,50,000",₹7–10 LPA,₹35 LPA,2010
All India Institute of Medical Sciences Delhi (AIIMS Delhi),AIIMS,Government,Self,South Delhi,Not surfaced,NIRF #1 (Medical),Yes,N/A,MBBS/MD/MS/BSc Nursing/PhD,https://www.aiims.edu,NEET/AIIMS Exam,"₹1,000–₹10,000",₹8–15 LPA,₹40 LPA+,1956
IIM Rohtak (Near NCR – Rohtak),IIM,Government,Self,Rohtak,Not surfaced,NIRF Top 25 (Management),Yes,N/A,MBA/EPGP/PhD,https://iimrohtak.ac.in,CAT,"₹9,00,000–₹10,00,000",₹12–16 LPA,₹45 LPA,2009
"Amity University, Noida",Private University,Private,Self,Noida,A+,NIRF Top 50,Yes,Yes,BTech/MBA/BA/BSc/LLB/BBA/Media/Design,https://www.amity.edu,Amity JEE/Direct,"₹1,50,000–₹3,50,000",₹5–8 LPA,₹40 LPA,2005
Galgotias University,Private University,Private,Self,Greater Noida,A,Not surfaced,Yes,Yes,BTech/MBA/BBA/BCA/LLB/BSc,https://galgotiasuniversity.edu.in,CUET/Direct,"₹1,20,000–₹2,00,000",₹4–7 LPA,₹30 LPA,2011
Sharda University,Private University,Private,Self,Greater Noida,A,NIRF Top 100,Yes,Yes,BTech/MBBS/MBA/BBA/LLB/BA,https://www.sharda.ac.in,Direct/Merit,"₹1,40,000–₹3,00,000",₹4–8 LPA,₹35 LPA,2009
Noida International University (NIU),Private University,Private,Self,Greater Noida,B+,Not surfaced,Yes,Yes,BTech/MBA/BBA/LLB/MBBS,https://www.niu.edu.in,Direct/Merit,"₹80,000–₹1,80,000",₹3–5 LPA,₹20 LPA,2010
Shiv Nadar University,Private University,Private,Self,Greater Noida,A+,NIRF Top 50 (Engineering),Yes,Yes,BTech/MSc/MA/MBA/PhD,https://snu.edu.in,Entrance Test/SAT,"₹3,00,000–₹4,00,000",₹10–16 LPA,₹60 LPA+,2011
Gautam Buddha University (GBU),State University,Government (UP),Self,Greater Noida,B++,Not surfaced,Yes,Yes,BTech/MBA/LLB/BA/BSc/MCA,https://www.gbu.ac.in,State CET/Merit,"₹50,000–₹1,50,000",₹4–6 LPA,₹20 LPA,2002
Jaypee Institute of Information Technology (JIIT),Deemed University,Private,Self,Noida,A,NIRF Top 100 (Engineering),Yes,Yes,BTech/MTech/MBA/PhD,https://www.jiit.ac.in,JEE Main/JIIT Exam,"₹1,90,000–₹2,10,000",₹8–12 LPA,₹45 LPA,2001
The NorthCap University (NCU),Private University,Private,Self,Gurugram,A,Not surfaced,Yes,Yes,BTech/MBA/LLB/BBA/BA/BSc,https://www.ncuindia.edu,Merit/Entrance,"₹1,50,000–₹2,50,000",₹5–8 LPA,₹35 LPA,2009
K.R. Mangalam University,Private University,Private,Self,Gurugram,B++,Not surfaced,Yes,Yes,BTech/MBA/LLB/BA/BCom/BCA,https://krmangalam.edu.in,Merit/Direct,"₹1,20,000–₹2,00,000",₹3–6 LPA,₹20 LPA,2013
BML Munjal University,Private University,Private,Self,Gurugram,A,Not surfaced,Yes,Yes,BTech/MBA/BA/BCom/LLB,https://www.bmu.edu.in,Merit/Entrance,"₹2,00,000–₹2,80,000",₹6–9 LPA,₹30 LPA,2014
GD Goenka University,Private University,Private,Self,Gurugram,B+,Not surfaced,Yes,Yes,BTech/MBA/LLB/BA/BSc/BBA,https://www.gdgoenkauniversity.com,Merit/Direct,"₹1,80,000–₹2,80,000",₹4–7 LPA,₹22 LPA,2013
Sushant University (Ansal University),Private University,Private,Self,Gurugram,B+,Not surfaced,Yes,Yes,BTech/MBA/Architecture/Design/LLB,https://www.sushantuniversity.edu.in,Merit/Direct,"₹1,60,000–₹2,40,000",₹4–7 LPA,₹20 LPA,2012
IILM University,Private University,Private,Self,Gurugram,B+,Not surfaced,Yes,Yes,BBA/MBA/BA/BCom/LLB,https://iilm.edu,Merit/Direct,"₹1,50,000–₹2,50,000",₹4–7 LPA,₹20 LPA,2018
Starex University,Private University,Private,Self,Gurugram,Not surfaced,Not surfaced,Yes,Yes,BTech/MBA/BBA/BA/BCom,https://www.starexuniversity.com,Merit/Direct,"₹80,000–₹1,60,000",₹3–5 LPA,₹15 LPA,2016
Maulana Azad Institute of Dental Sciences (MAIDS),Dental College,Government,University of Delhi / DGHS,New Delhi,A,NIRF #1 (Dental 2025),Yes,N/A,BDS/MDS/PhD,http://www.maids.ac.in,NEET,"₹10,000–₹50,000",Not surfaced,Not surfaced,1993
University College of Medical Sciences (UCMS),Medical College,Government,University of Delhi,New Delhi,B++,NIRF Top 25 (Medical),Yes,N/A,MBBS/MD/MS/BDS/PhD,http://www.ucms.ac.in,NEET,"₹15,000–₹50,000",Not surfaced,Not surfaced,1971
Government Institute of Medical Sciences (GIMS),Medical College,Government,AKTU/CSJMU,Greater Noida,Not surfaced,NIRF #93 (Medical 2026),Yes,N/A,MBBS/MD/MS,https://gims.ac.in,NEET,"₹20,000–₹60,000",Not surfaced,Not surfaced,2008
Footwear Design and Development Institute (FDDI),Design Institute,Government,Self / Autonomous,Noida,Not surfaced,Not surfaced,Yes,N/A,BSc Footwear/MBA/MDes,https://www.fddiindia.com,FDDI Entrance Exam,"₹1,00,000–₹1,50,000",₹4–7 LPA,₹20 LPA,1986
G L Bajaj Institute of Technology and Management,Engineering/Management College,Private,AKTU,Greater Noida,A+,Not surfaced,Yes,Yes,BTech/MBA/MCA,https://www.glbajaj.org,JEE Main/Direct,"₹90,000–₹1,10,000",₹7.35 LPA,₹58 LPA,2000
Greater Noida Institute of Technology (GNIOT),Engineering College,Private,AKTU,Greater Noida,B+,Not surfaced,Yes,Yes,BTech/MBA/MCA/B.Pharm/BCA,https://gniot.net,JEE Main/Direct,"₹70,000–₹90,000",₹4.5 LPA,₹50 LPA,2001
Lingaya's Lalita Devi Institute of Management and Sciences,Management College,Private,IPU,New Delhi,A+,Not surfaced,Yes,Yes,BBA/MBA/BA/BCom,https://www.lldimsdelhi.edu.in,IPU CET/Merit,"₹60,000–₹1,50,000",₹4–6 LPA,₹20 LPA,Not surfaced
Management Development Institute (MDI Gurgaon),Management College,Private,Self (Deemed),Gurugram,A+,NIRF Top 10 (Management),Yes,N/A,MBA/PGPM/PhD,https://www.mdi.ac.in,CAT,"₹12,00,000–₹13,00,000",₹24 LPA,₹72 LPA,1973
IMT Ghaziabad,Management College,Private,AICTE Approved,Ghaziabad,A+,NIRF Top 25 (Management),Yes,N/A,MBA/PGDM/PhD,https://www.imt.edu,CAT/XAT/GMAT,"₹9,00,000–₹10,00,000",₹14.7 LPA,₹52 LPA,1980
Jaipuria Institute of Management,Management College,Private,AICTE Approved,Noida/Ghaziabad,B++,Not surfaced,Yes,N/A,PGDM/MBA,https://www.jaipuria.ac.in,CAT/XAT/GMAT,"₹7,00,000–₹8,00,000",₹6.5 LPA,₹25 LPA,1995
Manav Rachna International Institute of Research and Studies,Private University,Private,Self,Faridabad,B++,Not surfaced,Yes,Yes,BTech/MBA/BBA/BA/BCom/LLB/MBBS,https://manavrachna.edu.in,Merit/Entrance,"₹1,00,000–₹2,50,000",₹4–6 LPA,₹22 LPA,2008
Amity University (Gurugram campus),Private University,Private,Self,Gurugram,A+,Not surfaced,Yes,Yes,BTech/MBA/BBA/Media/Design,https://www.amity.edu/gurugram,Amity JEE/Direct,"₹1,50,000–₹3,50,000",₹5–8 LPA,₹40 LPA,2005
